a,c
Abandoned Vehicles,Abandoned Vehicles & Parking
Accumulated Litter,Environmental Health
Admin,Other
Benches/Bicycle Racks,Environmental Disruptions
Bin Collection,Environmental Health
Bin Repair/Replacement,Environmental Health
Blocked Drains,Environmental Health
Bridge/Culvert Defects,Environmental Disruptions
Broken Fire Hydrant,Environmental Disruptions
Broken Kerbs,Environmental Disruptions
Bus Stops Damage,Environmental Disruptions
C.C.T.V Faults,Environmental Disruptions
Countryside RoW,Access
Dangerous Building/Structure,Environmental Disruptions
Dead Animals,Environmental Health
Debris/Spillage,Environmental Health
Demo,Other
Discarded Syringes,Environmental Health
Dog Fouling,Environmental Health
Dog Litter Bin,Environmental Health
Dumped Rubbish,Environmental Health
Environmental Health,Environmental Health
Fences,Environmental Disruptions
Flooding,Environmental Health
Floral displays,Other
Fly-tipping,Environmental Health
Flyposting,Incivilities
Garden Waste,Environmental Health
Gates/Stiles RoW,Access
General Highways Enquiries,Road Safety & Defects
Graffiti,Incivilities
Grids and Drains,Environmental Health
Grit Bins,Road Safety & Defects
Gritting,Road Safety & Defects
Grounds Maintenance,Road Safety & Defects
Gullies,Environmental Health
Gully/Manhole Defects,Environmental Health
Highway Condition,Road Safety & Defects
Highway Drainage,Environmental Health
Ice & Snow,Road Safety & Defects
Leafing,Environmental Disruptions
Lewisham Homes,Other
Lit Signs,Other
Litter/Litter Bin,Environmental Health
Manhole Covers,Environmental Health
Manhole Defects,Environmental Health
Missed Bin Collection,Environmental Health
Noise,Incivilities
Obstruction,Access
Other,Other
Parking,Abandoned Vehicles & Parking
Pest Control,Environmental Health
Phoenix HA,Other
Potholes,Road Safety & Defects
Property Damage,Environmental Disruptions
Protected Trees,Other
Recycling,Environmental Health
Retaining Wall,Environmental Disruptions
Right of Way,Access
Road Markings,Road Safety & Defects
Road Safety,Road Safety & Defects
Road Surface Defects,Road Safety & Defects
Road Works,Road Safety & Defects
Road/Pavement Defects,Road Safety & Defects
Rubbish,Environmental Health
Salt Bins,Road Safety & Defects
Shopping Trolley,Incivilities
Sign or Marking,Road Safety & Defects
Spillage on Road,Environmental Health
Street Cleaning,Environmental Health
Street Lights,Road Safety & Defects
Street Name Plates,Environmental Disruptions
To Let Signs,Other
Trade Waste,Environmental Health
Traffic Lights,Road Safety & Defects
Trees and Hedges RoW,Access
Trees on RoW,Access
Trenches,Environmental Disruptions
Trip Hazard,Environmental Health
Untaxed Vehcile,Abandoned Vehicles & Parking
Utility Works,Environmental Disruptions
Vehicle Access,Access
Verge Damage,Road Safety & Defects
Zebra Crossing,Road Safety & Defects
